algorithm,alpha,decay_factor,initial_epsilon,lambda_,min_epsilon,prior_variance,regularization,sigma,mean_final_regret,std_final_regret,min,max
linear_epsilon_greedy,,0.98,1.0,0.1,0.03,,,,440.29595063965724,16.687965745720405,412.02747952391536,465.0180620484028
linear_epsilon_greedy,,0.99,1.0,0.5,0.03,,,,441.2585782257705,23.598349041455716,402.19053302155055,480.8725748963965
linear_epsilon_greedy,,0.995,1.0,0.25,0.01,,,,444.0603350623217,21.73079344457551,408.20418224519716,469.3399243362333
linear_epsilon_greedy,,0.99,1.0,0.1,0.03,,,,446.59925236397993,20.788434600957533,422.3275005705996,479.07981641205237
linear_epsilon_greedy,,0.99,1.0,1.0,0.03,,,,446.8885073249879,11.64713758972718,429.7490998452267,469.33028814506963
linear_epsilon_greedy,,0.98,1.0,0.5,0.02,,,,447.1541721033477,18.453957780676717,421.77941066149634,481.0296909829459
linear_epsilon_greedy,,0.99,1.0,1.0,0.01,,,,447.71327468193783,13.710589643521494,427.7820436265489,465.756330816344
linear_epsilon_greedy,,0.98,1.0,1.0,0.02,,,,448.2721058749269,24.31657066186213,413.98060108893395,479.12623384751396
linear_epsilon_greedy,,0.98,1.0,0.25,0.03,,,,448.2874932285719,19.567511586601743,417.67595043318613,473.08420298923716
linear_epsilon_greedy,,0.98,1.0,0.25,0.01,,,,448.6412944465725,28.30160824347632,416.6249136438451,503.6296511978622
linear_epsilon_greedy,,0.98,1.0,1.0,0.03,,,,449.8206464062814,22.495550253356527,409.4944303563672,476.5083540736061
linear_epsilon_greedy,,0.98,1.0,0.5,0.01,,,,450.82498792617224,36.579763954112536,389.77538840107803,489.62356628039373
linear_epsilon_greedy,,0.98,1.0,0.25,0.02,,,,457.331901466353,28.7622341693825,407.4281346416744,505.91175619920074
linucb,0.05,,,,,,0.005,,428.0518877010838,12.529047312954509,411.82056397859526,455.6576085803769
linucb,0.05,,,,,,0.01,,430.11606831428287,16.115174448977136,406.6738813625822,454.76814419401035
linucb,0.1,,,,,,0.01,,431.92903912678884,11.576781549930491,416.43420093579164,454.21752299781974
linucb,0.1,,,,,,0.005,,432.12408204403056,12.654824314624893,412.7625528160029,459.93324474972434
linucb,0.05,,,,,,0.02,,433.34303498178645,19.12000313135795,409.05918551798214,465.7086767488429
linucb,0.1,,,,,,0.02,,434.69137000320916,14.13073034954781,410.50215031917156,456.28365067107103
linucb,0.1,,,,,,0.05,,437.09108086105596,18.215527481404834,416.3462980331011,467.5999625374569
linucb,0.25,,,,,,0.02,,440.6525975908544,8.422298133125194,432.12796058665907,457.60886078163657
linucb,0.25,,,,,,0.005,,445.5909194274577,12.337581335255763,425.07179474157766,462.3507899579257
linucb,0.25,,,,,,0.01,,446.6051080105491,18.338256626150265,413.4130850970387,470.7438984849146
linucb,0.25,,,,,,0.05,,447.96408799120184,18.731826879044718,409.9215751013192,472.1212702571018
linucb,0.05,,,,,,0.05,,498.9559703126905,18.73525153397053,466.78587095052666,522.3165809543335
thompson_sampling,,,,,,5.0,,0.1,424.1478844826741,13.703034158529134,404.2999511998808,447.87658966689116
thompson_sampling,,,,,,1.0,,0.2,424.87253521454375,12.427125694852279,408.9426999928739,442.0592228971618
thompson_sampling,,,,,,2.0,,0.1,429.2494916407125,21.564798739081322,389.5562445369067,451.9112400420926
thompson_sampling,,,,,,5.0,,0.2,431.2794925526129,19.91381110200767,408.3926185864586,471.2925816490024
thompson_sampling,,,,,,3.0,,0.1,435.6244326662366,24.339367465879725,404.6024200353024,478.4154433999137
thompson_sampling,,,,,,3.0,,0.2,435.6995097792769,9.901809405145205,415.95668790989697,453.69209702150266
thompson_sampling,,,,,,2.0,,0.2,435.77310900044984,11.601349416977461,415.6754992488653,458.63144290504977
thompson_sampling,,,,,,1.0,,0.1,450.9997119394214,33.86232177644736,412.2385427337561,536.6927686449344
